Date,Location,Latitude,Longitude,Operator,Route,Type,Aboard,Fatalities,Ground
08-07-1980,"Nouadhibou, Mauretania",20.9425179,-17.0362272,Tarom,Bucurest  - Nouadhibou,Tupolev TU-154B-1,168,1,0
08-11-1980,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965,Prospec,,Britten-Norman BN-2A-6 Islander,3,3,0
08/13/1980,"Sa Cabaneta, Spain",39.6206465,2.7495796,Spantax,,Learjet 35A,4,4,0
12/23/1980,"Qatar, Qatar",25.354826,51.183884,Saudi Arabian Airlines,Dhahran - Karachi,Lockheed L-1011-200,291,2,0
01/14/1981,"Ramstein AFB, West Germany",49.440024,7.5972524,Military - U.S. Air Force,"Ramstein AFB - Oslo, Norway",Lockheed C-130E Hercules,11,11,0
08/19/1980,"Near Riyadh, Saudi Arabia",24.7135517,46.6752957,Saudi Arabian Airlines,Riyadh - Jeddah,Lockheed 1011-200 TriStar,301,301,0
08/26/1980,"Near Jakarta, Indonesia",-6.2087634,106.845599,Bouraq Indonesia Airlines,Banjarmasin-Sjamsudin Noor  -  Jakarta,Vickers Viscount 812,37,37,0
09-05-1980,"Near Montelimar, France",44.556944,4.749496,Military - Kuwait Air Force,,Lockheed L-100-20 Hercules,8,8,0
09-10-1980,"Puerto Olaya, Colombia",6.47249,-74.3916,Aeronorte Colombia,Barranquilla - Bogota,Douglas C-47,3,3,0
09-12-1980,"Off Freeport, Bahamas",26.5333159,-78.6429019,Florida Commuter Airlines,West Palm Beach - Freeport Grand Bahama Islands,Douglas DC-3,34,34,0
09/14/1980,"Kindu, Zaire",-2.9492205,25.9231471,Military - Force Aérienne Zaïroise,,Lockheed Hercules C-130,36,36,0
09/15/1980,"Near Medina, Saudi Arabia",24.5246542,39.5691841,Military - Royal Saudi Air Force,,Lockheed C-130E,89,89,0
09/17/1980,"Near Kindu, Zaire",-2.9492205,25.9231471,Military - Zairean Air Force,,de Havilland DHC-5 Buffalo,36,36,0
09/22/1980,"Mount Smjorfjollum, Iceland",64.963051,-19.020835,Flugfelag Austurlands,,Britten-Norman BN-2A-27 Islander,3,3,0
09/30/1980,"Badakshan, Afghanistan",36.7347725,70.8119953,Military - Soviet Air Force,,Antonov AN-12V,45,45,0
10/24/1980,"Gainsville, Florida",29.6516344,-82.3248262,Tampa Air Center - Air Taxi,"Bartow, FL - Lake City, FL",Beechcraft E18S,3,3,0
11-04-1980,"Caracas, Venezuela",10.4805937,-66.9036063,Fuerza Aérea Venezolana,,Lockheed C-130H Hercules,11,11,0
11-12-1980,"Near Cairo, Egypt",30.0444196,31.2357116,Military - U.S. Air Force,Ramstein AB - Cairo,Lockheed C-141A,13,13,0
